ts_utc,slug,question,yes_token_id,no_token_id,yes_best_bid,yes_best_ask,yes_mid,yes_spread,yes_last_price,yes_last_size,yes_last_side,no_best_bid,no_best_ask,no_mid,no_spread,no_last_price,no_last_size,no_last_side,btc_price,btc_ts_utc,seconds_to_expiry,sum_mid,mid_deviation_from_1,secs_since_last_btc_update,secs_since_last_market_msg,secs_since_last_yes_quote_update,secs_since_last_yes_trade_update,secs_since_last_no_quote_update,secs_since_last_no_trade_update
2026-03-27T05:29:43.577+00:00,btc-updown-5m-1774589100,"Bitcoin Up or Down - March 27, 1:25AM-1:30AM ET",25456833461583749970389920592022740765111548055699998353707252409887738172053,40930452328873116184357515421087544420135565434430949854043068454175026267122,0.0,0.01,0.005,0.01,0.01,100.0,BUY,0.99,1.0,0.995,0.01,0.62,39.7,BUY,68575.484,2026-03-27T05:29:42.729+00:00,16.42289972305298,1.0,0.0,0.860000000015134,0.01600000000325963,0.0470000000204891,0.01600000000325963,0.0470000000204891,0.01600000000325963
2026-03-27T05:29:43.667+00:00,btc-updown-5m-1774589100,"Bitcoin Up or Down - March 27, 1:25AM-1:30AM ET",25456833461583749970389920592022740765111548055699998353707252409887738172053,40930452328873116184357515421087544420135565434430949854043068454175026267122,0.0,0.01,0.005,0.01,0.01,19702.14,SELL,0.99,1.0,0.995,0.01,0.99,19702.14,BUY,68575.484,2026-03-27T05:29:42.729+00:00,16.332364559173584,1.0,0.0,0.9379999999946449,0.0,0.125,0.0,0.125,0.0
2026-03-27T05:29:43.780+00:00,btc-updown-5m-1774589100,"Bitcoin Up or Down - March 27, 1:25AM-1:30AM ET",25456833461583749970389920592022740765111548055699998353707252409887738172053,40930452328873116184357515421087544420135565434430949854043068454175026267122,0.0,0.01,0.005,0.01,0.27,29.48,SELL,0.99,1.0,0.995,0.01,0.73,29.48,BUY,68575.484,2026-03-27T05:29:42.729+00:00,16.219482898712158,1.0,0.0,1.062999999994645,0.030999999988125637,0.25,0.030999999988125637,0.25,0.030999999988125637
2026-03-27T05:29:43.868+00:00,btc-updown-5m-1774589100,"Bitcoin Up or Down - March 27, 1:25AM-1:30AM ET",25456833461583749970389920592022740765111548055699998353707252409887738172053,40930452328873116184357515421087544420135565434430949854043068454175026267122,0.0,0.01,0.005,0.01,0.14,152.0,SELL,0.99,1.0,0.995,0.01,0.86,152.0,BUY,68575.484,2026-03-27T05:29:42.729+00:00,16.131953477859497,1.0,0.0,1.1410000000032596,0.01600000000325963,0.32800000000861473,0.01600000000325963,0.32800000000861473,0.01600000000325963
2026-03-27T05:29:43.977+00:00,btc-updown-5m-1774589100,"Bitcoin Up or Down - March 27, 1:25AM-1:30AM ET",25456833461583749970389920592022740765111548055699998353707252409887738172053,40930452328873116184357515421087544420135565434430949854043068454175026267122,0.0,0.01,0.005,0.01,0.14,152.0,SELL,0.99,1.0,0.995,0.01,0.86,152.0,BUY,68575.456,2026-03-27T05:29:43.942+00:00,16.022228240966797,1.0,0.0,0.030999999988125637,0.125,0.4370000000053551,0.125,0.4370000000053551,0.125
2026-03-27T05:29:44.078+00:00,btc-updown-5m-1774589100,"Bitcoin Up or Down - March 27, 1:25AM-1:30AM ET",25456833461583749970389920592022740765111548055699998353707252409887738172053,40930452328873116184357515421087544420135565434430949854043068454175026267122,0.0,0.01,0.005,0.01,0.38,39.7,SELL,0.99,1.0,0.995,0.01,0.62,39.7,BUY,68575.456,2026-03-27T05:29:43.942+00:00,15.921605587005615,1.0,0.0,0.14100000000325963,0.0470000000204891,0.5470000000204891,0.0470000000204891,0.5470000000204891,0.0470000000204891
2026-03-27T05:29:44.168+00:00,btc-updown-5m-1774589100,"Bitcoin Up or Down - March 27, 1:25AM-1:30AM ET",25456833461583749970389920592022740765111548055699998353707252409887738172053,40930452328873116184357515421087544420135565434430949854043068454175026267122,0.0,0.01,0.005,0.01,0.38,49.7,SELL,0.99,1.0,0.995,0.01,0.62,49.7,BUY,68575.456,2026-03-27T05:29:43.942+00:00,15.83136796951294,1.0,0.0,0.21899999998277053,0.0629999999946449,0.625,0.0629999999946449,0.625,0.0629999999946449
2026-03-27T05:29:44.281+00:00,btc-updown-5m-1774589100,"Bitcoin Up or Down - March 27, 1:25AM-1:30AM ET",25456833461583749970389920592022740765111548055699998353707252409887738172053,40930452328873116184357515421087544420135565434430949854043068454175026267122,0.0,0.01,0.005,0.01,0.99,9858.24,SELL,0.99,1.0,0.995,0.01,0.01,9858.24,BUY,68575.456,2026-03-27T05:29:43.942+00:00,15.71874213218689,1.0,0.0,0.34399999998277053,0.0779999999795109,0.75,0.0779999999795109,0.75,0.0779999999795109
2026-03-27T05:29:44.368+00:00,btc-updown-5m-1774589100,"Bitcoin Up or Down - March 27, 1:25AM-1:30AM ET",25456833461583749970389920592022740765111548055699998353707252409887738172053,40930452328873116184357515421087544420135565434430949854043068454175026267122,0.0,0.01,0.005,0.01,0.51,213.55,SELL,0.99,1.0,0.995,0.01,0.49,213.55,BUY,68575.456,2026-03-27T05:29:43.942+00:00,15.631190538406372,1.0,0.0,0.42199999999138527,0.0,0.8280000000086147,0.0,0.8280000000086147,0.0
2026-03-27T05:29:44.478+00:00,btc-updown-5m-1774589100,"Bitcoin Up or Down - March 27, 1:25AM-1:30AM ET",25456833461583749970389920592022740765111548055699998353707252409887738172053,40930452328873116184357515421087544420135565434430949854043068454175026267122,0.0,0.01,0.005,0.01,0.15,75.98,SELL,0.99,1.0,0.995,0.01,0.85,75.98,BUY,68575.456,2026-03-27T05:29:43.942+00:00,15.521488666534424,1.0,0.0,0.5309999999881256,0.0,0.9370000000053551,0.0,0.9370000000053551,0.0
