ts_utc,slug,question,yes_token_id,no_token_id,yes_best_bid,yes_best_ask,yes_mid,yes_spread,yes_last_price,yes_last_size,yes_last_side,no_best_bid,no_best_ask,no_mid,no_spread,no_last_price,no_last_size,no_last_side,btc_price,btc_ts_utc,seconds_to_expiry,sum_mid,mid_deviation_from_1,secs_since_last_btc_update,secs_since_last_market_msg,secs_since_last_yes_quote_update,secs_since_last_yes_trade_update,secs_since_last_no_quote_update,secs_since_last_no_trade_update
2026-03-27T05:11:45.076+00:00,btc-updown-5m-1774588200,"Bitcoin Up or Down - March 27, 1:10AM-1:15AM ET",46347366005331157003558200438796502493451305067093854825078719487217551793968,72217184666964983746156745248810316341263535506680696133886509744430587223490,0.44,0.45,0.445,0.010000000000000009,0.53,211.0,SELL,0.55,0.56,0.555,0.010000000000000009,0.47,211.0,BUY,68680.82,2026-03-27T05:11:44.965+00:00,194.92362880706787,1.0,0.0,0.125,0.25,0.26600000000325963,0.25,0.26600000000325963,0.25
2026-03-27T05:11:45.269+00:00,btc-updown-5m-1774588200,"Bitcoin Up or Down - March 27, 1:10AM-1:15AM ET",46347366005331157003558200438796502493451305067093854825078719487217551793968,72217184666964983746156745248810316341263535506680696133886509744430587223490,0.44,0.45,0.445,0.010000000000000009,0.53,220.0,SELL,0.55,0.56,0.555,0.010000000000000009,0.47,220.0,BUY,68680.82,2026-03-27T05:11:44.965+00:00,194.73009204864502,1.0,0.0,0.3120000000053551,0.1720000000204891,0.1720000000204891,0.1720000000204891,0.1720000000204891,0.1720000000204891
2026-03-27T05:11:45.467+00:00,btc-updown-5m-1774588200,"Bitcoin Up or Down - March 27, 1:10AM-1:15AM ET",46347366005331157003558200438796502493451305067093854825078719487217551793968,72217184666964983746156745248810316341263535506680696133886509744430587223490,0.42,0.43,0.425,0.01,0.43,493.17,SELL,0.57,0.58,0.575,0.01,0.57,493.17,BUY,68680.82,2026-03-27T05:11:44.965+00:00,194.53286123275757,1.0,0.0,0.514999999984866,0.0779999999795109,0.0779999999795109,0.0779999999795109,0.0779999999795109,0.0779999999795109
2026-03-27T05:11:45.661+00:00,btc-updown-5m-1774588200,"Bitcoin Up or Down - March 27, 1:10AM-1:15AM ET",46347366005331157003558200438796502493451305067093854825078719487217551793968,72217184666964983746156745248810316341263535506680696133886509744430587223490,0.42,0.43,0.425,0.010000000000000009,0.39,192.85,BUY,0.57,0.58,0.575,0.010000000000000009,0.61,192.85,SELL,68679.10647905414,2026-03-27T05:11:45.519+00:00,194.33831429481506,1.0,0.0,0.1409999999741558,0.0159999999741558,0.0159999999741558,0.0159999999741558,0.0159999999741558,0.0159999999741558
2026-03-27T05:11:45.868+00:00,btc-updown-5m-1774588200,"Bitcoin Up or Down - March 27, 1:10AM-1:15AM ET",46347366005331157003558200438796502493451305067093854825078719487217551793968,72217184666964983746156745248810316341263535506680696133886509744430587223490,0.42,0.43,0.425,0.010000000000000009,0.45,284.69,SELL,0.57,0.58,0.575,0.010000000000000009,0.55,284.69,BUY,68679.10647905414,2026-03-27T05:11:45.519+00:00,194.13182592391968,1.0,0.0,0.34399999998277053,0.0,0.125,0.0,0.125,0.0
2026-03-27T05:11:46.071+00:00,btc-updown-5m-1774588200,"Bitcoin Up or Down - March 27, 1:10AM-1:15AM ET",46347366005331157003558200438796502493451305067093854825078719487217551793968,72217184666964983746156745248810316341263535506680696133886509744430587223490,0.41,0.42,0.415,0.01,0.4,233.5,BUY,0.58,0.59,0.585,0.01,0.6,233.5,SELL,68679.10647905414,2026-03-27T05:11:45.519+00:00,193.92866849899292,1.0,0.0,0.5469999999913853,0.0,0.031000000017229468,0.0,0.031000000017229468,0.0
2026-03-27T05:11:46.272+00:00,btc-updown-5m-1774588200,"Bitcoin Up or Down - March 27, 1:10AM-1:15AM ET",46347366005331157003558200438796502493451305067093854825078719487217551793968,72217184666964983746156745248810316341263535506680696133886509744430587223490,0.41,0.42,0.415,0.010000000000000009,0.44,289.86,SELL,0.58,0.59,0.585,0.010000000000000009,0.56,289.86,BUY,68679.10647905414,2026-03-27T05:11:45.519+00:00,193.72797799110413,1.0,0.0,0.75,0.0,0.09400000001187436,0.0,0.09400000001187436,0.0
2026-03-27T05:11:46.469+00:00,btc-updown-5m-1774588200,"Bitcoin Up or Down - March 27, 1:10AM-1:15AM ET",46347366005331157003558200438796502493451305067093854825078719487217551793968,72217184666964983746156745248810316341263535506680696133886509744430587223490,0.41,0.42,0.415,0.010000000000000009,0.56,230.0,SELL,0.58,0.59,0.585,0.010000000000000009,0.44,230.0,BUY,68679.10647905414,2026-03-27T05:11:45.519+00:00,193.53019070625305,1.0,0.0,0.9529999999795109,0.0,0.139999999984866,0.0,0.139999999984866,0.0
2026-03-27T05:11:46.664+00:00,btc-updown-5m-1774588200,"Bitcoin Up or Down - March 27, 1:10AM-1:15AM ET",46347366005331157003558200438796502493451305067093854825078719487217551793968,72217184666964983746156745248810316341263535506680696133886509744430587223490,0.41,0.42,0.415,0.010000000000000009,0.51,147.0,SELL,0.58,0.59,0.585,0.010000000000000009,0.49,147.0,BUY,68676.54475452469,2026-03-27T05:11:46.622+00:00,193.33581948280334,1.0,0.0,0.046999999991385266,0.0,0.1409999999741558,0.0,0.1409999999741558,0.0
2026-03-27T05:11:46.870+00:00,btc-updown-5m-1774588200,"Bitcoin Up or Down - March 27, 1:10AM-1:15AM ET",46347366005331157003558200438796502493451305067093854825078719487217551793968,72217184666964983746156745248810316341263535506680696133886509744430587223490,0.41,0.42,0.415,0.010000000000000009,0.41,426.26,BUY,0.58,0.59,0.585,0.010000000000000009,0.59,426.26,SELL,68676.54475452469,2026-03-27T05:11:46.622+00:00,193.12920904159546,1.0,0.0,0.25,0.0,0.17199999999138527,0.0,0.17199999999138527,0.0
2026-03-27T05:11:47.075+00:00,btc-updown-5m-1774588200,"Bitcoin Up or Down - March 27, 1:10AM-1:15AM ET",46347366005331157003558200438796502493451305067093854825078719487217551793968,72217184666964983746156745248810316341263535506680696133886509744430587223490,0.41,0.42,0.415,0.010000000000000009,0.01,12370.11,BUY,0.58,0.59,0.585,0.010000000000000009,0.99,12370.11,SELL,68676.54475452469,2026-03-27T05:11:46.622+00:00,192.92496061325073,1.0,0.0,0.45300000000861473,0.0,0.09400000001187436,0.0,0.07800000000861473,0.0
2026-03-27T05:11:47.275+00:00,btc-updown-5m-1774588200,"Bitcoin Up or Down - March 27, 1:10AM-1:15AM ET",46347366005331157003558200438796502493451305067093854825078719487217551793968,72217184666964983746156745248810316341263535506680696133886509744430587223490,0.41,0.42,0.415,0.010000000000000009,0.38,227.21,BUY,0.58,0.59,0.585,0.010000000000000009,0.62,227.21,SELL,68676.54475452469,2026-03-27T05:11:46.622+00:00,192.72418093681335,1.0,0.0,0.6560000000172295,0.0,0.0470000000204891,0.0,0.0470000000204891,0.0
