slug,quality_score,rows,mean_spread,tight_spread_ratio,fresh_quote_ratio,fresh_btc_ratio,update_intensity,stale_period_fraction,btc_vol_bps,poly_vol_bps,inferred_passive_entry,inferred_passive_exit_given_entry,quote_update_count,trade_update_count
btc-updown-5m-1774588200,83.95762907418992,981,0.011630988786952092,0.9388379204892966,1.0,0.8746177370030581,1.0,0.0,17.279729841774127,9409.620641695841,0.2782874617737003,0.34798534798534797,890,981
btc-updown-5m-1774589100,83.16945730996558,801,0.011186017478152309,0.951310861423221,1.0,0.898876404494382,1.0,0.0,14.648474493172662,21501.015670342425,0.2571785268414482,0.3446601941747573,765,800
btc-updown-5m-1774588800,82.65823099739364,1494,0.009604417670682729,0.9805890227576974,1.0,0.8694779116465864,1.0,0.0,16.133947640739784,34734.81611854712,0.1606425702811245,0.25833333333333336,1253,1494
btc-updown-5m-1774588500,81.64526358645315,1494,0.013072289156626504,0.9009370816599732,1.0,0.8614457831325302,1.0,0.0,10.449992787906465,15353.217454136728,0.3467202141900937,0.47297297297297297,1478,1494
