quote_id,quote_ts_utc,slug,quote_side,quote_price,quote_size,mode,touch_observed,touch_observed_ts_utc,touch_observation_count,touch_persistence_ms,fill_inferred,fill_inferred_ts_utc,fill_confidence,fill_opportunity,fill_opportunity_ts_utc,time_to_touch_ms,cancel_ts_utc,cancel_after_ms,entry_mid,intended_exit_price,exit_opportunity_observed,exit_opportunity_ts_utc,passive_exit_opportunity,passive_exit_ts_utc,hold_ms,forced_taker_exit,maker_taker_path,adverse_move_bps_post_fill,quote_staleness_s,btc_staleness_s
q-16-1774588308261,2026-03-27T05:11:48.261+00:00,btc-updown-5m-1774588200,buy,0.35,1.0,dry_run_observed,True,2026-03-27T05:11:49.475+00:00,4,589,True,2026-03-27T05:11:49.475+00:00,high,True,2026-03-27T05:11:49.475+00:00,1214,2026-03-27T05:11:48.261+00:00,0,0.31,0.36,True,2026-03-27T05:11:54.061+00:00,True,2026-03-27T05:11:54.061+00:00,4586,False,maker_entry_maker_exit,161.29,0.0,0.625
q-17-1774588308474,2026-03-27T05:11:48.474+00:00,btc-updown-5m-1774588200,sell,0.41,1.0,dry_run_observed,False,,0,0,False,,none,False,,,2026-03-27T05:11:50.474+00:00,2000,0.38,,,,,,,,no_fill,,0.030999999988125637,0.8429999999934807
q-18-1774588308669,2026-03-27T05:11:48.669+00:00,btc-updown-5m-1774588200,buy,0.35,1.0,dry_run_observed,True,2026-03-27T05:11:49.475+00:00,6,988,True,2026-03-27T05:11:49.475+00:00,high,True,2026-03-27T05:11:49.475+00:00,806,2026-03-27T05:11:48.669+00:00,0,0.31,0.36,True,2026-03-27T05:11:54.061+00:00,True,2026-03-27T05:11:54.061+00:00,4586,False,maker_entry_maker_exit,161.29,0.0,1.0309999999881256
q-19-1774588308875,2026-03-27T05:11:48.875+00:00,btc-updown-5m-1774588200,sell,0.4,1.0,dry_run_observed,False,,0,0,False,,none,False,,,2026-03-27T05:11:50.875+00:00,2000,0.375,,,,,,,,no_fill,,0.01600000000325963,0.20399999999790452
q-20-1774588309062,2026-03-27T05:11:49.062+00:00,btc-updown-5m-1774588200,buy,0.35,1.0,dry_run_observed,True,2026-03-27T05:11:49.475+00:00,8,1389,True,2026-03-27T05:11:49.475+00:00,high,True,2026-03-27T05:11:49.475+00:00,413,2026-03-27T05:11:49.062+00:00,0,0.31,0.36,True,2026-03-27T05:11:54.061+00:00,True,2026-03-27T05:11:54.061+00:00,4586,False,maker_entry_maker_exit,161.29,0.046999999991385266,0.39100000000325963
q-21-1774588309263,2026-03-27T05:11:49.263+00:00,btc-updown-5m-1774588200,sell,0.36,1.0,dry_run_observed,False,,0,0,False,,none,False,,,2026-03-27T05:11:51.263+00:00,2000,0.32999999999999996,,,,,,,,no_fill,,0.0,0.5789999999979045
q-22-1774588309475,2026-03-27T05:11:49.475+00:00,btc-updown-5m-1774588200,buy,0.3,1.0,dry_run_observed,True,2026-03-27T05:11:49.669+00:00,1,0,False,,low,False,,194,2026-03-27T05:11:51.475+00:00,2000,0.31,,,,,,,,no_fill,,0.014999999984866008,0.7969999999913853
q-23-1774588309669,2026-03-27T05:11:49.669+00:00,btc-updown-5m-1774588200,sell,0.3,1.0,dry_run_observed,True,2026-03-27T05:11:49.876+00:00,9,1589,True,2026-03-27T05:11:49.876+00:00,high,True,2026-03-27T05:11:49.876+00:00,207,2026-03-27T05:11:49.669+00:00,0,0.325,0.29,False,,False,,8000,True,maker_entry_taker_exit,-615.38,0.0,0.9849999999860302
q-24-1774588309876,2026-03-27T05:11:49.876+00:00,btc-updown-5m-1774588200,buy,0.32,1.0,dry_run_observed,True,2026-03-27T05:11:50.463+00:00,8,1404,True,2026-03-27T05:11:50.463+00:00,high,True,2026-03-27T05:11:50.463+00:00,587,2026-03-27T05:11:49.876+00:00,0,0.31,0.33,True,2026-03-27T05:11:53.275+00:00,True,2026-03-27T05:11:53.275+00:00,2812,False,maker_entry_maker_exit,-161.29,0.03200000000651926,0.07899999999790452
q-25-1774588310064,2026-03-27T05:11:50.064+00:00,btc-updown-5m-1774588200,sell,0.34,1.0,dry_run_observed,True,2026-03-27T05:11:50.265+00:00,1,0,False,,low,False,,201,2026-03-27T05:11:52.064+00:00,2000,0.325,,,,,,,,no_fill,,0.0,0.26600000000325963
q-26-1774588310265,2026-03-27T05:11:50.265+00:00,btc-updown-5m-1774588200,buy,0.34,1.0,dry_run_observed,True,2026-03-27T05:11:50.463+00:00,9,1608,True,2026-03-27T05:11:50.463+00:00,high,True,2026-03-27T05:11:50.463+00:00,198,2026-03-27T05:11:50.265+00:00,0,0.31,0.35000000000000003,True,2026-03-27T05:11:54.061+00:00,True,2026-03-27T05:11:54.061+00:00,3598,False,maker_entry_maker_exit,-161.29,0.015000000013969839,0.46900000001187436
